iter	MultiClass
0	2.460319824
1	2.377887044
2	2.301568685
3	2.236228678
4	2.178964355
5	2.121337891
6	2.07154248
7	2.020469564
8	1.980891276
9	1.942112142
10	1.901777018
11	1.865608724
12	1.829917155
13	1.79333903
14	1.762030111
15	1.730028809
16	1.699981608
17	1.671282389
18	1.643093913
19	1.619167969
20	1.594385905
21	1.569311849
22	1.545339518
23	1.521105306
24	1.497703939
25	1.476476725
26	1.456266439
27	1.436193522
28	1.417275065
29	1.400886068
30	1.382217611
31	1.361948812
32	1.347090576
33	1.329450358
34	1.313575846
35	1.297861328
36	1.282355876
37	1.267973307
38	1.252179118
39	1.237221191
40	1.222801921
41	1.209304443
42	1.19506958
43	1.180176839
44	1.166403564
45	1.153641439
46	1.140690104
47	1.129460042
48	1.11900472
49	1.106452393
50	1.096139567
51	1.084768962
52	1.072613932
53	1.063371989
54	1.053407552
55	1.042157715
56	1.031535319
57	1.021405518
58	1.010568522
59	1.000889974
60	0.994296224
61	0.9864239909
62	0.977917806
63	0.9687054036
64	0.9595703125
65	0.9515262858
66	0.9438699544
67	0.9365230306
68	0.9284339193
69	0.9203947754
70	0.9149397786
71	0.9062619629
72	0.8984898275
73	0.8901263021
74	0.8840974121
75	0.8761057129
76	0.8696835938
77	0.8624094238
78	0.8558431803
79	0.8496195475
80	0.8435695801
81	0.8379532878
82	0.8315744629
83	0.8266844076
84	0.8204931641
85	0.8142478841
86	0.8082354329
87	0.8029469401
88	0.7962958984
89	0.790943278
90	0.7860031738
91	0.7808097331
92	0.7765486654
93	0.7710507813
94	0.7647625326
95	0.7603829753
96	0.7563524577
97	0.7510871582
98	0.7453349609
99	0.7404248861
100	0.7353238932
101	0.7305367025
102	0.7267393392
103	0.7209588216
104	0.7168439128
105	0.7127689616
106	0.7097868652
107	0.7063197428
108	0.7033718262
109	0.6994848633
110	0.6948094889
111	0.6903181152
112	0.6873693034
113	0.6834471842
114	0.6789870605
115	0.6762335205
116	0.6730124105
117	0.6700931803
118	0.6663895671
119	0.6624412842
120	0.6609017334
121	0.6575559896
122	0.6534448649
123	0.6501396484
124	0.6460266927
125	0.6426260579
126	0.6406278483
127	0.6381627604
128	0.634078776
129	0.6285845947
130	0.6253161214
131	0.6226239014
132	0.6200801595
133	0.6169039714
134	0.6128903809
135	0.6100942383
136	0.6078515218
137	0.6066037598
138	0.6030229492
139	0.6004729818
140	0.5965521647
141	0.5929003499
142	0.5887400309
143	0.5859673665
144	0.5833107096
145	0.5806309408
146	0.5784531657
147	0.5750944824
148	0.5720979818
149	0.5692481283
150	0.5666075846
151	0.5645946452
152	0.5617016602
153	0.5598109945
154	0.5580230713
155	0.5562410482
156	0.5530282796
157	0.5497557373
158	0.5466373698
159	0.5453063558
160	0.5430842692
161	0.5398032227
162	0.5377473145
163	0.536037557
164	0.5338624268
165	0.5325691325
166	0.5297100016
167	0.528438029
168	0.5261763102
169	0.5238435059
170	0.5212960612
171	0.5189165853
172	0.5176841634
173	0.5147765299
174	0.5121389974
175	0.5106021729
176	0.5089158936
177	0.5067692057
178	0.5045438232
179	0.5022575277
180	0.5006433512
181	0.4987569173
182	0.4976258138
183	0.4954274902
184	0.4927628581
