iter	Passed	Remaining
0	514	513600
1	1001	499744
2	1488	494728
3	1921	478555
4	2397	477143
5	2882	477609
6	3328	472221
7	3808	472287
8	4245	467526
9	4693	464652
10	5144	462546
11	5628	463405
12	6098	463016
13	6547	461149
14	7030	461649
15	7474	459706
16	7922	458102
17	8363	456298
18	8847	456807
19	9286	455053
20	9700	452248
21	10172	452212
22	10609	450661
23	11027	448461
24	11468	447283
25	11902	445872
26	12340	444713
27	12789	443964
28	13235	443152
29	13683	442439
30	14123	441488
31	14577	440960
32	15003	439661
33	15443	438786
34	15887	438051
35	16338	437507
36	16753	436045
37	17241	436487
38	17659	435142
39	18118	434843
40	18601	435092
41	19061	434794
42	19496	433902
43	19963	433750
44	20406	433063
45	20885	433148
46	21305	431994
47	21783	432045
48	22271	432251
49	22760	432458
50	23241	432467
51	23715	432357
52	24198	432381
53	24678	432331
54	25161	432316
55	25616	431829
56	26095	431725
57	26562	431408
58	27054	431494
59	27538	431440
60	28015	431256
61	28500	431185
62	28987	431126
63	29454	430771
64	29933	430580
65	30416	430438
66	30897	430260
67	31389	430218
68	31878	430125
69	32377	430162
70	32878	430202
71	33344	429773
72	33837	429691
73	34296	429166
74	34779	428943
75	35269	428806
76	35760	428656
77	36240	428379
78	36720	428090
79	37211	427930
80	37693	427663
81	38186	427497
82	38666	427196
83	39149	426912
84	39638	426700
85	40128	426483
86	40626	426344
87	41140	426368
88	41623	426058
89	42116	425849
90	42602	425561
91	43093	425318
92	43575	424974
93	44063	424695
94	44552	424416
95	45028	424020
96	45522	423780
97	46012	423502
98	46483	423050
99	46969	422728
100	47452	422375
101	47940	422065
102	48432	421789
103	48919	421457
104	49407	421144
105	49893	420803
106	50380	420462
107	50864	420102
108	51353	419775
109	51838	419424
110	52325	419078
111	52817	418763
112	53305	418420
113	53791	418062
114	54276	417689
115	54806	417660
116	55292	417296
117	55791	417015
118	56290	416737
119	56780	416388
120	57273	416061
121	57768	415740
122	58251	415340
123	58761	415121
124	59242	414697
125	59740	414388
126	60228	414010
127	60712	413602
128	61212	413303
129	61696	412888
130	62182	412493
131	62672	412117
132	63165	411766
133	63661	411426
134	64143	410991
135	64640	410658
136	65131	410284
137	65625	409919
138	66112	409519
139	66600	409119
140	67134	408998
141	67616	408557
142	68118	408235
143	68599	407788
144	69093	407411
145	69586	407030
146	70076	406632
147	70566	406236
148	71050	405798
149	71539	405391
150	72033	405009
151	72520	404585
152	73008	404170
153	73493	403736
154	73978	403303
155	74469	402901
156	74958	402484
157	75451	402091
158	75945	401699
159	76431	401264
160	76923	400860
161	77400	400378
162	77881	399919
163	78365	399474
164	78850	399029
165	79317	398500
166	79796	398026
167	80277	397565
168	80762	397122
169	81255	396717
170	81741	396277
171	82222	395816
172	82708	395375
173	83196	394944
174	83681	394499
175	84147	393963
176	84635	393532
177	85120	393085
